"Proposal #","full proposal title","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","Created Date.x","Total Sponsor Costs","Sponsor Deadline","academic affairs","activity type","History Action Day and Comment","Actual_Submission_Date","Actual_Udr_Consid_Date","Actual_Funding_Date","Actual_Not_Funding_Date","Actual_Submission_FY","Actual_Udr_Consid_FY","Actual_Funding_FY","Actual_Not_Funding_FY","Created Date.y","Proposal_Creation_FY","Days_to_Submission","Days_to_Funding_From_Submission","Days_to_Non_Funding_From_Submission","Actual_Submission_Month_Year","College/Division","Actual_Submission_Quarter","Actual_Funding_Quarter","Sponsor_Type_Grouped","Sponsor_Category","Submission_Status","Submission_Count","Award_Count","Total_Submission_Count","Received_Total_Sponsor_Costs"
"23-0493-P0002","In vivo regulation of the extracellular matrix","In vivo regulation of the extracellular matrix","David S. Fay","Molecular Biology","Funded","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,"Molecular Biology","7/1/2025","6/30/2030","Renewal",,"23-0493",2024-04-25 14:37:08,2859800,"5/30/2024 12:00:00 AM",,"Basic Research","5/31/2024 04:00:00 PM: Submitted on 05/28/2024 by CR >> 6/20/2025 02:38:53 PM: NOA received, modification tasked to EK >> 6/24/2025 03:12:02 PM: NOA for $570,775",2024-05-31 16:00:00,2025-06-20 14:38:53,2025-06-24 15:12:02,,"FY2024","FY2025","FY2025",,2024-04-25 14:37:08,"FY2024",36,389,,"May-2024","Agriculture","Q4 FY2024","Q4 FY2025","Federal","NIH","Funded",0,1,1,2859800
"23-0498-P0002","Acute Effects of High-Intensity Interval Training via Cycling on Executive Functioning in Middle School Students with ADHD","Riding for Focus in PE on Life Skills Development-Participation in Extracurricular Cycling Opps in Middle School Students"" and ""Acute Effects of High-Intensity Interval Training via Cycling on Executive Functioning in Middle School Students with ADHD""","Cynthia M. Hartung","Psychology","Funded","Outride",,"Psychology","4/15/2025","6/30/2026","Non-Competing Continuation",,"23-0498",2025-04-03 09:05:17,28028,"4/30/2025 12:00:00 AM",,"Applied Research","4/16/2025 03:17:36 PM: Updating form fields >> 4/28/2025 02:09:43 PM: Submitted >> 4/28/2025 02:10:10 PM: Under consideration >> 5/2/2025 01:55:46 PM: Award active",2025-04-28 14:09:43,2025-04-28 14:10:10,2025-05-02 13:55:46,,"FY2025","FY2025","FY2025",,2025-04-03 09:05:17,"FY2025",25,4,,"April-2025","Arts & Sciences","Q4 FY2025","Q4 FY2025","Non-profit","Others","Funded",0,1,1,28028
"23-0530-P0002","Weed Management in Sugarbeet","Weed Management in Sugarbeet","Andrew R. Kniss","Plant Sciences","Funded","Betaseed, Inc.",,"Plant Sciences","6/2/2020","10/31/2027","Supplement",,"23-0530",2024-06-25 10:44:03,24000,"7/1/2024 12:00:00 AM",,"Applied Research","7/2/2024 08:42:00 AM: Dept. confirmed that sponsor has proposal and intends to issue a check soon. >> 8/1/2024 03:13:03 PM: Received a check for $24,000 >> 9/27/2024 10:13:01 AM: Funded as an increase to A0001.",2024-07-02 08:42:00,2024-08-01 15:13:03,2024-09-27 10:13:01,,"FY2025","FY2025","FY2025",,2024-06-25 10:44:03,"FY2024",7,87,,"July-2024","Agriculture","Q1 FY2025","Q1 FY2025","Business","Others","Funded",0,1,1,24000
"23-0560-P0002","Herbicide Evaluation Program (NuFarm)","Herbicide Evaluation Program","Andrew R. Kniss","Plant Sciences","Funded","Nufarm Americas, Inc.",,"Plant Sciences","4/5/2024","3/9/2029","Supplement",,"23-0560",2025-01-09 12:24:47,6000,"1/10/2025 12:00:00 AM",,"Applied Research","1/17/2025 08:24:44 AM: edit fileds >> 2/10/2025 09:53:02 AM: check recieved >> 2/10/2025 09:53:48 AM: check applied to existing award",2025-02-10 09:53:02,,2025-02-10 09:53:48,,"FY2025",,"FY2025",,2025-01-09 12:24:47,"FY2025",32,0,,"February-2025","Agriculture","Q3 FY2025","Q3 FY2025","Business","Others","Funded",0,1,1,6000
"23-0589-P0002","Priority Species (Bats) Monitoring and Surveillance","Priority Species (Bats) Monitoring and Surveillance","Ian M. Abernethy","Wyo Natural Diversity Database","Funded","Forest Service/Department of Agriculture",,"Wyo Natural Diversity Database","4/15/2024","12/31/2026","Supplement",,"23-0589",2024-03-12 07:30:09,32000,"3/27/2024 12:00:00 AM",,"Basic Research","3/25/2024 12:43:09 PM: Budget reviewed, returning for updated SOW and other items. >> 5/14/2024 07:56:26 AM: Submitted >> 5/14/2024 07:56:56 AM: John Hedberg was working on the contract negotiations >> 5/14/2024 07:57:24 AM: funded",2024-05-14 07:56:26,2024-05-14 07:56:56,2024-05-14 07:57:24,,"FY2024","FY2024","FY2024",,2024-03-12 07:30:09,"FY2024",63,0,,"May-2024","Research & Economic Development","Q4 FY2024","Q4 FY2024","Federal","Others","Funded",0,1,1,32000
"23-0589-P0003","Amendment and extension to Priority Species (Bats) Monitoring and Surveillance CS agreement","Priority Species (Bats) Monitoring and Surveillance","Ellen Whittle","Wyo Natural Diversity Database","Submitted to Sponsor","Forest Service/Department of Agriculture",,"Wyo Natural Diversity Database","4/15/2024","12/31/2026","Supplement",,"23-0589",2025-05-22 09:25:46,20000,"6/6/2025 12:00:00 AM",,"Basic Research","6/3/2025 10:40:00 AM: Updating form fields >> 6/26/2025 04:35:40 PM: Awaiting contract from USFS.",2025-06-26 16:35:40,,,,"FY2025",,,,2025-05-22 09:25:46,"FY2025",36,,,"June-2025","Research & Economic Development","Q4 FY2025",,"Federal","Others","Submitted",1,0,1,0
"23-0618-P0002","Upper Missouri River Basin Project: Plains Snow and Soil Moisture Monitoring Network | Operations and Maintenance","Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits","Virginia B. Paige","Ecosystem Science & Management","Funded","National Oceanic and Atmospheric Administration/Department of Commerce",,"Ecosystem Science & Management","10/1/2023","9/30/2027","Non-Competing Continuation",,"23-0618",2023-08-19 14:16:38,1744684,"8/25/2023 12:00:00 AM",,"Applied Research","8/25/2023 10:05:17 AM: Email Submission, to NOAA 8/25/25 >> 9/1/2023 08:24:27 AM: Draft contract arrived 8/31/23 >> 9/15/2023 01:31:08 PM: Fully executed recieved",2023-08-25 10:05:17,2023-09-01 08:24:27,2023-09-15 13:31:08,,"FY2024","FY2024","FY2024",,2023-08-19 14:16:38,"FY2024",6,21,,"August-2023","Agriculture","Q1 FY2024","Q1 FY2024","Federal","Others","Funded",0,1,1,1744684
"23-0620-P0002","Adding winter severity metrics and monitoring capabilities to DEVISE","An automated analytical system to synthesize environmental data from long-term remote sensors for use in animal migration ecology, 6/10/2020.","Jerod Andrew Merkle","Zoology & Physiology","Funded","Wyoming Game and Fish Department",,"Wyoming Coop Unit","5/1/2024","12/31/2025","New",,"23-0620",2024-01-29 09:37:28,50436,"1/31/2024 12:00:00 AM",,"Applied Research","1/31/2024 02:52:03 PM: Trying to fix routing. >> 2/19/2024 01:36:11 PM: Submitted on 01/31/2024 - see attachments >> 3/26/2024 03:52:56 PM: Notice received 03/19/2024 see attachments. >> 8/15/2024 11:37:37 AM: Funded.",2024-02-19 13:36:11,2024-03-26 15:52:56,2024-08-15 11:37:37,,"FY2024","FY2024","FY2025",,2024-01-29 09:37:28,"FY2024",21,178,,"February-2024","Agriculture","Q3 FY2024","Q1 FY2025","State","Others","Funded",0,1,1,50436
"23-0640-P0002","Drought, water availability, and the implications for fish","Drought, water availability, and the implications for fish, 3/27/2020.","Annika Walters","Wyoming Coop Unit","Funded","U.S. Geological Survey/Department of the Interior",,"Wyoming Coop Unit","11/12/2020","11/11/2025","Supplement",,"23-0640",2023-06-08 09:18:30,76497,"6/14/2023 12:00:00 AM",,"Applied Research","6/15/2023 02:34:18 PM: Submitted 6-15-23 >> 9/6/2023 06:02:15 PM: Funded. Modification No. 3 on G21AC00019-03. 09/05/2023.",2023-06-15 14:34:18,,2023-09-06 18:02:15,,"FY2023",,"FY2024",,2023-06-08 09:18:30,"FY2023",7,83,,"June-2023","Agriculture","Q4 FY2023","Q1 FY2024","Federal","Others","Funded",0,1,1,76497
"23-0645-P0002","SMART Phase 2 – ML tools to Accelerate and Complement Geologic Carbon Storage (T2)","Rare Earth Element in Coals","Jonathan Fred McLaughlin","School of Energy Resources Directors Office","Funded","Leidos",,"School of Energy Resources Directors Office","7/15/2024","4/30/2025","New",,"23-0645",2024-06-18 11:16:58,197916,"7/2/2024 12:00:00 AM",,"Applied Research","7/2/2024 03:52:46 PM: Submitted on 07/02/2024 at 3:50pm >> 7/18/2024 01:53:15 PM: Task Order 2 under Review.",2024-07-02 15:52:46,,2024-07-18 13:53:15,,"FY2025",,"FY2025",,2024-06-18 11:16:58,"FY2024",14,16,,"July-2024","School of Energy Resources","Q1 FY2025","Q1 FY2025","Business","Others","Funded",0,1,1,197916
"23-0686-P0002","Experimental and Numerical Studies of Two-phase Flow Dynamics in Carbonate Reservoir Core Samples - Phase II","Experimental and Numerical Studies of Two-phase Flow Dynamics in Carbonate Reservoir Core Samples","Mohammad Piri","Center of Innovation for Flow through Porous Media","Funded","Shell Brasil Petroleo LTDA",,"Center of Innovation for Flow through Porous Media","9/27/2024","3/26/2027","Non-Competing Continuation",,"23-0686",2024-05-01 09:59:37,1874000,"5/1/2024 12:00:00 AM",,"Applied Research","11/15/2024 03:45:47 PM: Post-Submission Review. >> 11/15/2024 03:45:54 PM: Funded.",2024-11-15 15:45:47,,2024-11-15 15:45:54,,"FY2025",,"FY2025",,2024-05-01 09:59:37,"FY2024",199,0,,"November-2024","Research & Economic Development","Q2 FY2025","Q2 FY2025","Others","Others","Funded",0,1,1,1874000
"23-0696-P0002","Herbicide Evaluation Program (AMVAC)","Herbicide Evaluation Program (AMVAC)","Andrew R. Kniss","Plant Sciences","Funded","AMVAC Chemical Corporation",,"Plant Sciences","4/5/2024","3/30/2029","Supplement",,"23-0696",2025-01-09 10:54:20,12100,"1/10/2025 12:00:00 AM",,"Applied Research","1/17/2025 08:29:31 AM: field edits >> 2/10/2025 09:53:22 AM: check recieved >> 2/10/2025 09:53:42 AM: check applied to existing award",2025-02-10 09:53:22,,2025-02-10 09:53:42,,"FY2025",,"FY2025",,2025-01-09 10:54:20,"FY2025",32,0,,"February-2025","Agriculture","Q3 FY2025","Q3 FY2025","Business","Others","Funded",0,1,1,12100
"23-0733-P0002","Kin recognition and multicellularity in Myxococcus xanthus","Self-nonself recognition and multicellularity in myxobacteria","Daniel M. Wall","Molecular Biology","Submitted to Sponsor","National Institutes of Health/Department of Health and Human Services",,"Molecular Biology","4/1/2026","3/31/2031","Renewal",,"23-0733",2025-04-29 09:17:54,1695000,"5/16/2025 12:00:00 AM",,"Basic Research","5/15/2025 01:46:20 PM: GRANT14415969",2025-05-15 13:46:20,,,,"FY2025",,,,2025-04-29 09:17:54,"FY2025",16,,,"May-2025","Agriculture","Q4 FY2025",,"Federal","NIH","Submitted",1,0,1,0
"23-0768-P0002","Collaborative Research: Volatile sources, eruption triggers, and magma ascent rates for mafic alkaline magmas at Nyiragongo and Nyamulagira volcanoes, DR Congo, East African Rift","Collaborative Research: Volatile sources, eruption triggers, and magma ascent rates for mafic alkaline magmas at Nyiragongo and Nyamulagira volcanoes, DR Congo, East African Rift","Kenneth Warren Sims","Geology & Geophysics","Under Consideration","National Science Foundation",,"Geology & Geophysics","5/1/2021","4/30/2026","Supplement",,"23-0768",2025-03-06 09:25:10,25032,"3/14/2025 12:00:00 AM",,"Basic Research","3/12/2025 10:18:39 AM: 3/12/25 Submitted the supplement request via research.gov - tracking number 2528920 >> 5/5/2025 03:58:57 PM: Award is in an active status and I am updating the proposal to funded. >> 5/28/2025 09:29:53 AM: Fixing status. >> 5/28/2025 09:30:07 AM: Fixing Status. >> 5/28/2025 09:30:27 AM: Previously submitted. Fixing status. >> 5/28/2025 09:31:04 AM: Updated C&P Submitted to NSF. We anticipate a forthcoming award.",2025-05-28 09:30:27,2025-05-28 09:31:04,2025-05-05 15:58:57,,"FY2025","FY2025","FY2025",,2025-03-06 09:25:10,"FY2025",83,-23,,"May-2025","Engineering","Q4 FY2025","Q4 FY2025","Federal","NSF","Funded",0,1,1,25032
"23-0840-P0002","Evaluating the benefit of multiple migratory tactics in the world's longest migrating mule deer herd","Rocky Mountain CESU (RMCESU) WY Evaluating the benefit of multiple migratory tactics in the world's longest migrating mule deer herd","Matthew Kauffman","Wyoming Coop Unit","Funded","Bureau of Land Management/Department of the Interior",,"Wyoming Coop Unit","9/1/2023","8/31/2024","Supplement",,"23-0840",2023-06-08 09:56:20,50000,"6/13/2023 12:00:00 AM",,"Applied Research","7/28/2023 10:16:55 AM: Submitted >> 9/25/2023 01:21:47 PM: NOA recieved",2023-07-28 10:16:55,,2023-09-25 13:21:47,,"FY2024",,"FY2024",,2023-06-08 09:56:20,"FY2023",50,59,,"July-2023","Agriculture","Q1 FY2024","Q1 FY2024","Federal","Others","Funded",0,1,1,50000
"23-0856-P0002","Manage and operate the Wyoming Early Childhood Professional Learning Collaborative-2023","Manage and operate the Wyoming Early Childhood Professional Learning Collaborative","Nikki Adele Baldwin","School of Teacher Education","Funded","Wyoming Workforce Services",,"School of Teacher Education","7/1/2023","6/30/2024","New",,"23-0856",2023-07-10 12:54:14,95000,"5/30/2023 12:00:00 AM",,"Instruction","7/12/2023 10:05:38 AM: Legacy submission, state issued new award, routing needed in Lieu of Greensheet, please see notes and budget for all justification. >> 7/26/2023 09:57:02 AM: Proposal was submitted to sponsor May 23 >> 11/22/2024 02:23:40 PM: This project was funded and an award has been completed in ROAM.",2023-07-26 09:57:02,,2024-11-22 14:23:40,,"FY2024",,"FY2025",,2023-07-10 12:54:14,"FY2024",16,485,,"July-2023","Education","Q1 FY2024","Q2 FY2025","State","Others","Funded",0,1,1,95000
"23-0861-P0003","Heart Disease and Stroke Prevention Program (HDSPP)","New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","Humphrey John Costello","Wyoming Survey & Analysis Center","Funded","New Mexico Department of Health",,"Wyoming Survey & Analysis Center","8/29/2023","6/30/2024","Non-Competing Continuation",,"23-0861",2023-10-11 10:52:03,85000,"10/13/2023 12:00:00 AM",,"Other Sponsored Activity","10/16/2023 10:04:31 AM: Previously submitted to sponsor. >> 10/16/2023 10:05:00 AM: Fully executed contract provided 10/11/23. >> 10/17/2023 08:16:55 AM: updates to proposal form needed. >> 10/17/2023 08:17:26 AM: Updates to proposal form needed. >> 10/17/2023 08:20:46 AM: Previously submitted to sponsor. Updates needed to key personnel page >> 10/17/2023 08:21:07 AM: Contract attached to proposal form.",2023-10-16 10:04:31,,2023-10-17 08:21:07,,"FY2024",,"FY2024",,2023-10-11 10:52:03,"FY2024",5,1,,"October-2023","Research & Economic Development","Q2 FY2024","Q2 FY2024","Others",,"Funded",0,1,1,85000
"23-0861-P0004","New Mexico 23-0020  Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","Humphrey John Costello","Wyoming Survey & Analysis Center","Funded","New Mexico Department of Health",,"Wyoming Survey & Analysis Center","7/1/2024","6/30/2025","Non-Competing Continuation",,"23-0861",2024-05-24 11:30:52,65000,"6/7/2024 12:00:00 AM",,"Other Sponsored Activity","6/26/2024 10:04:09 AM: After the fact submission. Agreement under review. >> 8/19/2024 12:40:06 PM: Funded.",2024-06-26 10:04:09,,2024-08-19 12:40:06,,"FY2024",,"FY2025",,2024-05-24 11:30:52,"FY2024",33,54,,"June-2024","Research & Economic Development","Q4 FY2024","Q1 FY2025","State","Others","Funded",0,1,1,65000
"23-0861-P0006","New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","Humphrey John Costello","Wyoming Survey & Analysis Center","Submitted to Sponsor","New Mexico Department of Health",,"Wyoming Survey & Analysis Center","7/1/2025","6/30/2026","Non-Competing Continuation",,"23-0861",2025-06-18 10:49:41,45000,"6/23/2025 12:00:00 AM",,"Other Sponsored Activity","6/18/2025 01:25:52 PM: Updating form fields >> 6/18/2025 03:05:47 PM: Updating form fields >> 6/18/2025 03:25:57 PM: Updating form fields >> 6/27/2025 07:09:20 AM: Submitted",2025-06-27 07:09:20,,,,"FY2025",,,,2025-06-18 10:49:41,"FY2025",9,,,"June-2025","Research & Economic Development","Q4 FY2025",,"State","Others","Submitted",1,0,1,0
"23-0861-P0007","New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","Humphrey John Costello","Wyoming Survey & Analysis Center","Submitted to Sponsor","New Mexico Department of Health",,"Wyoming Survey & Analysis Center","7/1/2025","6/30/2026","Non-Competing Continuation",,"23-0861",2025-06-18 11:45:40,65000,"6/23/2025 12:00:00 AM",,"Other Sponsored Activity","6/18/2025 01:23:03 PM: Updating form fields >> 6/18/2025 03:04:42 PM: Updating form fields >> 6/18/2025 03:27:56 PM: Updating form fields >> 6/27/2025 07:08:49 AM: Submitted",2025-06-27 07:08:49,,,,"FY2025",,,,2025-06-18 11:45:40,"FY2025",9,,,"June-2025","Research & Economic Development","Q4 FY2025",,"State","Others","Submitted",1,0,1,0
"23-0946-P0002","Mapping big game migration corridors in Wyoming and other western states: USGS implementation of Secretarial Order 3362","RWO208: Mapping big game migration corridors in Wyoming and other western states: USGS implementation of Secretarial Order 3362","Matthew Kauffman","Wyoming Coop Unit","Funded","U.S. Geological Survey/Department of the Interior",,"Wyoming Coop Unit","9/20/2021","12/31/2025","Supplement",,"23-0946",2023-06-08 09:21:42,777623,"6/14/2023 12:00:00 AM",,"Applied Research","6/19/2023 09:14:07 AM: 6-19-23 >> 9/6/2023 06:17:56 PM: Submitted. >> 9/6/2023 06:18:04 PM: Funded. >> 9/27/2023 11:47:30 AM: Project was previously funded, removing from routing to fix proposal error in RW. PI certification never occurred, will enter routing again to ensure that is completed. >> 9/27/2023 11:50:37 AM: Fixing proposal error on General information tab, project has been previously funded. PI Certification never completed. Routing will be concluded to ensure that is captured. >> 10/3/2023 10:33:09 AM: submitted back in June, cleaning up >> 10/23/2023 02:25:16 PM: Award set up in ROAM with award documentation",2023-10-03 10:33:09,,2023-10-23 14:25:16,,"FY2024",,"FY2024",,2023-06-08 09:21:42,"FY2023",117,20,,"October-2023","Agriculture","Q2 FY2024","Q2 FY2024","Federal","Others","Funded",0,1,1,777623
