"Award #","Project Title","Award Title","PI","PI Unit","Award Amount","Award Id","Award Notice Received","Increment Amount","Modification Number","Modification Type","Modification Date","Modified By","sponsor type","activity type","Increment_Amount_Obliged","History Action Date Parsed","Sponsor","Prime Sponsor","Instrument Type","Award Start Date","Award End Date","Admin Unit","Obligated Amount","Project #","Total Expected Amount","Anticipated Amount","Status","Created Date","Award Type","Award_Start_Month_Year","College/Division"
"23-0207-A0001-1","Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR-UP Wyoming) - Operating 2018-2019",,"Richard Wayne Matlock","Student Educational Opportunity",,"11c90198-23e1-4d6b-a101-532b66996783","7/10/2018",,1,"New Funding Increment","9/8/2023","John Ruess","U.S. Federal Government","Other Sponsored Activity"," 6274948.59999999962747097015381",,"Department of Education","Department of Education",,2023-09-08,"9/25/2024","Student Educational Opportunity",24010000,"23-0207",,,"Active","9/8/2023 09:10:23 AM",,"'Sep-23","Academic Affairs"
"23-0209-A0001-0","Thresholds in a Changing Ocean Environment:Bioeconomic Implications to Inform Adaptation Decisions for Alaska's Salmon Fisheries",,"David C. Finnoff","Economics",,"a67fea74-471b-47c4-88e5-0d2353de3c0c","8/23/2018",,0,"Original Award",,,,,"  912851.00000000000000000000000",,"National Oceanic and Atmospheric Administration/Department of Commerce","National Oceanic and Atmospheric Administration/Department of Commerce",,2018-09-01,"5/31/2023","Economics",912851,"23-0209",,,"Active","4/24/2023 06:29:38 PM",,"'Sep-18","Business"
"23-0213-A0001-0","Mineralogical and Biogeochemical Control of Phosphorus Transformation During Soil Development",,"Mengqiang Zhu","Ecosystem Science & Management",,"52dc9f6e-f59a-4eda-9a5c-e50f5a097b90","8/10/2018",,0,"Original Award",,,,,"  676163.00000000000000000000000",,"National Science Foundation","National Science Foundation",,2018-08-15,"7/31/2023","Ecosystem Science & Management",676163,"23-0213",,,"Active","4/24/2023 06:29:52 PM",,"'Aug-18","Agriculture"
"23-0215-A0001-0","RII Track-2 FEC: Insect Cryobiology and Ecophysiology (ICE) Network: Integrating Genomics, Physiology, and Modeling",,"Michael E. Dillon","Zoology & Physiology",,"7dae3357-49b0-4397-ba3c-37ce524a7195",,,0,"Original Award",,,,," 2327354.00000000000000000000000",,"North Dakota State University","National Science Foundation",,2018-08-15,"7/31/2023","Zoology & Physiology",2327354,"23-0215",,,"Active","4/24/2023 06:29:58 PM",,"'Aug-18","Agriculture"
"23-0215-A0001-2","RII Track-2 FEC: Insect Cryobiology and Ecophysiology (ICE) Network: Integrating Genomics, Physiology, and Modeling",,"Michael E. Dillon","Zoology & Physiology",,"7dae3357-49b0-4397-ba3c-37ce524a7195",,,2,"New Funding Increment","1/29/2024","John Ruess","Other State and Local Governmental Entities","Basic Research","   36125.00000000000000000000000",2023-04-24 18:29:58,"North Dakota State University","National Science Foundation",,2024-01-29,"7/31/2024","Zoology & Physiology",2363479,"23-0215",,,"In Closeout","1/29/2024 02:40:30 PM",,"'Jan-24","Agriculture"
"23-0216-A0001-0","Research and Monitoring of Wyoming Toad Reintroductions",,"Frank J. Rahel","Zoology & Physiology",,"350aef0c-9b38-4355-a720-0e4e8292b633","8/6/2018",,0,"Original Award",,,,,"  162478.42000000001280568540096",,"U.S. Fish & Wildlife Service/Department of the Interior","U.S. Fish & Wildlife Service/Department of the Interior",,2018-08-06,"9/30/2023","Zoology & Physiology",162478.42,"23-0216",,,"Active","4/24/2023 06:30:02 PM",,"'Aug-18","Agriculture"
"23-0223-A0001-0","NGEO: Enabling Discoveries in Multiscale Earth System Dynamics",,"Andrew David Parsekian","Geology & Geophysics",,"9a075dae-336e-458e-832d-987905299c91","10/5/2018",,0,"Original Award",,,"Institutions of Higher Education",,"  128792.00000000000000000000000",,"Incorporated Research Institutions for Seismology","National Science Foundation",,2018-10-01,"9/30/2023","Geology & Geophysics",128792,"23-0223",,,"Active","4/24/2023 06:30:25 PM",,"'Oct-18","Engineering"
"23-0223-A0001-2","NGEO: Enabling Discoveries in Multiscale Earth System Dynamics",,"Andrew David Parsekian","Geology & Geophysics",,"9a075dae-336e-458e-832d-987905299c91","10/5/2018",,2,"New Funding Increment","10/12/2023","Kristi Stockdale","Institutions of Higher Education","Applied Research","   24998.00000000000000000000000",2023-04-24 18:30:25,"EarthScope Consortium","National Science Foundation",,2023-10-12,"9/30/2023","Geology & Geophysics",153790,"23-0223",153790,,"Closed","10/12/2023 12:53:06 PM",,"'Oct-23","Engineering"
"23-0233-A0001-0","RII Track-2 FEC: Genomics Underlying Toxin Tolerance (GUTT): Identifying Molecular Innovations that Predict Phenotypes of Toxin Tolerance in Wild Vertebrate Herbivores",,"Rongsong Liu","Mathematics & Statistics",,"96457eff-387e-45bd-b31d-538f9c903548","11/1/2018",,0,"Original Award",,,,,"  975084.00000000000000000000000",,"Boise State University","National Science Foundation",,2018-08-15,"7/31/2022","Mathematics & Statistics",975084,"23-0233",,,"Active","4/24/2023 06:30:59 PM",,"'Aug-18","Engineering"
"23-0242-A0001-0","Center for Mechanistic Control of Water-Hydrocarbon-Rock Interactions in Unconventional and Tight Oil Formation",,"Vladimir Alvarado","Chemical & Biomedical Engineering",,"3d166bef-b9f6-484f-abab-4b7928b0e79b","12/13/2018",,0,"Original Award",,,,," 1995750.00000000000000000000000",,"Stanford University",,,2018-08-01,"7/31/2023","Chemical & Biomedical Engineering",1995750,"23-0242",,,"Active","4/24/2023 06:31:30 PM",,"'Aug-18","Engineering"
"23-0242-A0001-1","Center for Mechanistic Control of Water-Hydrocarbon-Rock Interactions in Unconventional and Tight Oil Formation",,"Vladimir Alvarado","Chemical & Biomedical Engineering",,"3d166bef-b9f6-484f-abab-4b7928b0e79b","12/13/2018",,1,"New Funding Increment","9/1/2023","Tashina Lemons",,,"   85000.00000000000000000000000",,"Stanford University",,,2023-09-01,"7/31/2023","Chemical & Biomedical Engineering",2080750,"23-0242",,,"Active","9/1/2023 11:17:27 AM",,"'Sep-23","Engineering"
"23-0244-A0001-0","UW Barnyards and Backyards - An innovative project to reach out to Wyoming's small acreage landowner with conservation programs",,"Jennifer Sue Thompson","UW Extension",,"4655dd2f-bf03-4622-9596-c3a7a22bdb77","9/25/2018",,0,"Original Award",,,,,"   75000.00000000000000000000000",,"Natural Resources Conservation Service/Department of Agriculture","Natural Resources Conservation Service/Department of Agriculture",,2018-09-25,"9/24/2023","UW Extension",75000,"23-0244",,,"Active","4/24/2023 06:31:37 PM",,"'Sep-18","Agriculture"
"23-0245-A0001-0","Comprehensive Field Load Test and Geotechnical Investigation Program for Development of LRFD Recommendations of Driven Piles on Intermediate GeoMaterials",,"Kam Weng Ng","Civil & Architectural Engineering & Construction Management",,"d238233e-6adb-4cb8-975a-90ee34983e24","12/18/2018",,0,"Original Award",,,,,"  765000.00000000000000000000000",,"Wyoming Department of Transportation","Federal Highway Administration/Department of Transportation",,2019-01-09,"12/31/2023","Civil & Architectural Engineering & Construction Management",765000,"23-0245",,,"Active","4/24/2023 06:31:40 PM",,"'Jan-19","Engineering"
"23-0252-A0001-0","Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program",,"Antony R. Bergantino","Atmospheric Science",,"3f803dbf-6a4c-4b35-9efe-07a2a23f84d2",,,0,"Original Award",,,,,"  199848.63000000000465661287308",,"Synoptic Data Corp","National Oceanic and Atmospheric Administration/Department of Commerce",,2018-01-17,"4/6/2023","Atmospheric Science",199848.63,"23-0252",,,"Active","4/24/2023 06:32:05 PM",,"'Jan-18","Engineering"
"23-0252-A0001-2","Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program",,"Antony R. Bergantino","Atmospheric Science",,"3f803dbf-6a4c-4b35-9efe-07a2a23f84d2","5/1/2023",,2,"New Funding Increment","8/21/2023","John Ruess","Industry","Basic Research","       0.00000000000000000000000",,"Synoptic Data Corp","National Oceanic and Atmospheric Administration/Department of Commerce",,2023-08-21,"6/29/2023","Atmospheric Science",199848.63,"23-0252",221335,,"Active","8/21/2023 01:09:01 PM",,"'Aug-23","Engineering"
"23-0252-A0001-4","Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program",,"Antony R. Bergantino","Atmospheric Science",,"3f803dbf-6a4c-4b35-9efe-07a2a23f84d2","5/1/2023",,4,"New Funding Increment","1/3/2024","Tashina Lemons","Industry","Basic Research","   77178.86999999999534338712692",,"Synoptic Data Corp","National Oceanic and Atmospheric Administration/Department of Commerce",,2024-01-03,"6/30/2024","Atmospheric Science",277027.5,"23-0252",277027.5,,"Active","1/3/2024 02:07:26 PM",,"'Jan-24","Engineering"
"23-0252-A0001-5","Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program",,"Antony R. Bergantino","Atmospheric Science",,"3f803dbf-6a4c-4b35-9efe-07a2a23f84d2","5/1/2023",,5,"New Funding Increment","4/17/2024","Kristi Hargis Stockdale","Industry","Basic Research","    7881.80000000000018189894035",,"Synoptic Data Corp","National Oceanic and Atmospheric Administration/Department of Commerce",,2024-04-17,"6/30/2024","Atmospheric Science",284909.3,"23-0252",284909.3,,"Active","4/17/2024 03:34:56 PM",,"'Apr-24","Engineering"
"23-0252-A0001-6","Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program",,"Antony R. Bergantino","Atmospheric Science",,"3f803dbf-6a4c-4b35-9efe-07a2a23f84d2","5/1/2023",,6,"New Funding Increment","6/21/2024","Kristi Hargis Stockdale","Industry","Basic Research","   11822.70000000000072759576142",,"Synoptic Data Corp","National Oceanic and Atmospheric Administration/Department of Commerce",,2024-06-21,"7/6/2024","Atmospheric Science",296732,"23-0252",296732,,"Active","6/21/2024 07:13:32 AM",,"'Jun-24","Engineering"
"23-0252-A0001-7","Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program",,"Antony R. Bergantino","Atmospheric Science",,"3f803dbf-6a4c-4b35-9efe-07a2a23f84d2","7/17/2024",,7,"New Funding Increment","7/18/2024","Farrell Jean Rapp","Industry","Basic Research","   30635.83000000000174622982740",,"Synoptic Data Corp","National Oceanic and Atmospheric Administration/Department of Commerce",,2024-07-18,"3/31/2025","Atmospheric Science",327367.83,"23-0252",327367.83,,"Active","7/18/2024 04:36:29 PM",,"'Jul-24","Engineering"
"23-0252-A0001-8","Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program",,"Antony R. Bergantino","Atmospheric Science",,"3f803dbf-6a4c-4b35-9efe-07a2a23f84d2","9/11/2024",,8,"New Funding Increment","9/16/2024","Farrell Jean Rapp","Industry","Basic Research","   30652.20999999999912688508630",,"Synoptic Data Corp","National Oceanic and Atmospheric Administration/Department of Commerce",,2024-09-16,"3/31/2025","Atmospheric Science",358020.04,"23-0252",358020.04,,"Active","9/16/2024 10:50:36 AM",,"'Sep-24","Engineering"
"23-0252-A0001-9","Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program",,"Antony R. Bergantino","Atmospheric Science",,"3f803dbf-6a4c-4b35-9efe-07a2a23f84d2","9/11/2024",,9,"New Funding Increment","4/7/2025","Evelyn Renee Kelley","Industry","Basic Research","    5299.68000000000029103830457",2023-04-24 18:32:05,"Synoptic Data Corp","National Oceanic and Atmospheric Administration/Department of Commerce",,2025-04-07,"4/6/2025","Atmospheric Science",363319.72,"23-0252",363319.72,,"Active","4/7/2025 03:26:29 PM",,"'Apr-25","Engineering"
"23-0255-A0001-0","Therapeutic activation of AMPK for the aging right heart",,"Danielle R Bruns","Kinesiology & Health",,"78bd1801-a3b7-4aee-8c40-c6b90861d52b","2/19/2019",,0,"Original Award",,,,,"  805010.00000000000000000000000",,"National Institutes of Health/Department of Health and Human Services","National Institutes of Health/Department of Health and Human Services",,2019-03-01,"11/30/2023","Kinesiology & Health",805010,"23-0255",,,"Active","4/24/2023 06:32:21 PM",,"'Mar-19","Health Sciences"
"23-0262-A0002-0","REU Site: Wyoming Astronomy",,"Daniel A Dale","Engineering & Physical Sciences Deans Office",,"194027e8-3b51-4bb4-b20d-12fb93eb1a7f","4/10/2023",,0,"Original Award",,,"U.S. Federal Government","Basic Research","  154503.00000000000000000000000",,"National Science Foundation",,,2023-04-15,"3/31/2026","Physics & Astronomy",154503,"23-0262",322515,,"Active","5/2/2023 11:19:40 AM",,"'Apr-23","Engineering"
"23-0262-A0002-1","REU Site: Wyoming Astronomy",,"Daniel A Dale","Engineering & Physical Sciences Deans Office",,"194027e8-3b51-4bb4-b20d-12fb93eb1a7f","4/10/2023",,1,"New Funding Increment","3/1/2024","Kristi Hargis Stockdale","U.S. Federal Government","Basic Research","   14000.00000000000000000000000",,"National Science Foundation",,,2024-03-01,"3/31/2026","Physics & Astronomy",168503,"23-0262",322515,,"Active","3/1/2024 12:12:56 PM",,"'Mar-24","Engineering"
"23-0262-A0002-2","REU Site: Wyoming Astronomy",,"Daniel A Dale","Engineering & Physical Sciences Deans Office",,"194027e8-3b51-4bb4-b20d-12fb93eb1a7f","4/10/2023",,2,"New Funding Increment","3/25/2024","Kristi Hargis Stockdale","U.S. Federal Government","Basic Research","   59649.00000000000000000000000",,"National Science Foundation",,,2024-03-25,"3/31/2026","Physics & Astronomy",228152,"23-0262",322515,,"Active","3/25/2024 03:41:46 PM",,"'Mar-24","Engineering"
"23-0262-A0002-3","REU Site: Wyoming Astronomy",,"Daniel A Dale","Engineering & Physical Sciences Deans Office",,"194027e8-3b51-4bb4-b20d-12fb93eb1a7f","3/24/2025",,3,"New Funding Increment","2/27/2025","Farrell Jean Rapp","U.S. Federal Government","Basic Research","  108363.00000000000000000000000",2023-05-02 11:19:40,"National Science Foundation",,,2025-02-27,"3/31/2026","Physics & Astronomy",336515,"23-0262",336515,,"Active","2/27/2025 09:46:04 AM",,"'Feb-25","Engineering"
"23-0268-A0001-0","Improved Operational Prediction of Blowing and Falling Snow and Extreme Wind Events in the Rocky Mountain Region and Northern High Plains",,"Bart Geerts","Atmospheric Science",,"990fd7b5-d003-4632-8276-808b35312195","3/27/2019",,0,"Original Award",,,,,"  443834.00000000000000000000000",,"National Oceanic and Atmospheric Administration/Department of Commerce","National Oceanic and Atmospheric Administration/Department of Commerce",,2019-06-01,"5/31/2023","Atmospheric Science",443834,"23-0268",,,"Active","4/24/2023 06:33:19 PM",,"'Jun-19","Engineering"
"23-0270-A0001-0","Collaborative Research: Mechanisms of tree population collapses in eastern North America: Disentangling causes of abrupt ecological change during the Holocene",,"Bryan Nolan Shuman","Geology & Geophysics",,"02f6b7aa-6265-47ce-b998-8cf7b208a3e7","4/30/2019",,0,"Original Award",,,,,"  209923.00000000000000000000000",,"National Science Foundation","National Science Foundation",,2019-06-01,"5/31/2022","Geology & Geophysics",209923,"23-0270",,,"Active","4/24/2023 06:33:26 PM",,"'Jun-19","Engineering"
"23-0272-A0001-0","Developing CO2-EOR and Associate Storage Within the Residual Oil Zone Fairways of the Powder River Basin, Wyoming",,"Nicholas R Jones","Enhanced Oil Recovery Institute",,"a4b7383b-4ad9-4ad3-a71f-a153acd94222","5/31/2019",,0,"Original Award",,,,," 1848779.00000000000000000000000",,"National Energy Technology Laboratory/U.S. Department of Energy","National Energy Technology Laboratory/U.S. Department of Energy",,2019-07-01,"12/31/2022","Enhanced Oil Recovery Institute",1848779,"23-0272",,,"In Closeout","4/24/2023 06:33:33 PM",,"'Jul-19","School of Energy Resources"
"23-0278-A0001-0","Collaborative Research: Integrating vital rates to predict the net effect of functional traits on fitness",,"Daniel Charles Laughlin","Botany",,"edef1700-eb79-4892-9c8c-b131757bc8e7","6/21/2019",,0,"Original Award",,,,,"  402265.00000000000000000000000",,"National Science Foundation","National Science Foundation",,2019-07-15,"6/30/2024","Botany",402265,"23-0278",,,"Active","4/24/2023 06:33:53 PM",,"'Jul-19","Agriculture"
"23-0283-A0001-0","Tunable, nanoporous, two-dimensional Covalent Organic Frameworks for size and charge separations",,"Katie Dongmei Li-Oakey","Chemical & Biomedical Engineering",,"7fe46e1a-d057-4fc9-a223-4ca7dfe54159","7/8/2019",,0,"Original Award",,,,,"  687850.55000000004656612873077",,"U.S. Department of Energy","U.S. Department of Energy",,2019-08-15,"12/31/2022","Chemical & Biomedical Engineering",687850.55,"23-0283",,,"In Closeout","4/24/2023 06:34:10 PM",,"'Aug-19","Engineering"
